fault_id,fault_timestamp,fault_code,fault_description,fault_category,network_type,equipment_type,location,severity,customer_impact,customers_affected,service_calls_generated,resolution_timestamp,resolution_time_hours,first_time_fix,technician_type_required,estimated_revenue_impact,priority_score
F000013,2025-09-24T09:43:28.371541,816.1,Fiber break in main trunk,Cable Fault,FIBER,Cisco ASR9000,Roskilde,High,Severe,2563,54,2025-09-25T06:25:25.100763,20.7,False,Specialist,187824.9252324266,0.9817186414832507
F000014,2025-09-23T10:39:22.927153,800.3,Service degradation detected,Major,COAX,Harmonic CableOS,Silkeborg,Medium,Moderate,202,49,2025-09-23T15:05:18.561359,4.43,True,General,8542.857091648693,0.778451079898231
F000015,2025-07-07T06:08:43.298138,300.5,Signal level deviation,Minor,FIBER,Huawei MA5800,Aalborg East,Low,Minimal,31,4,2025-07-07T08:41:43.401452,2.55,True,General,2379.8612216257384,0.8615633264465004
F000016,2025-08-09T00:28:28.790724,400.1,Signal level deviation,Minor,FIBER,Juniper MX960,Esbjerg South,Low,Minimal,14,5,2025-08-09T01:24:39.553013,0.94,True,General,1286.7207501826715,0.6216548763312987
F000017,2025-08-28T00:37:57.529645,400.1,Signal level deviation,Minor,FIBER,Huawei MA5800,Odense West,Low,Minimal,16,3,2025-08-28T02:36:06.459746,1.97,True,General,366.3250542773267,0.3002689613338478
F000018,2025-08-31T14:22:13.794561,700.2,Temperature threshold exceeded,Major,FIBER,Juniper MX960,Horsens,Medium,Moderate,406,42,2025-08-31T18:22:43.788918,4.01,False,General,36847.82522448524,0.6474439200212826
F000019,2025-08-19T02:36:03.441801,500.3,Minor packet loss detected,Minor,FIBER,Juniper MX960,Horsens,Low,Minimal,13,5,2025-08-19T03:34:26.461844,0.97,True,General,642.3242714244586,0.35819331858903614
F000020,2025-07-09T13:41:22.769114,900.1,Power supply fluctuation,Major,FIBER,Juniper MX960,Roskilde,Medium,Moderate,496,20,2025-07-09T20:20:15.373777,6.65,False,General,9038.806655813822,0.4090055414273371
F000021,2025-08-20T08:32:48.159695,400.1,Signal level deviation,Minor,FIBER,Huawei MA5800,Silkeborg,Low,Minimal,27,3,2025-08-20T09:22:16.871829,0.82,True,General,2544.110686432537,0.9073488009916604
F000022,2025-08-05T04:56:36.129181,200.2,Low bandwidth utilization,Minor,FIBER,Cisco ASR9000,Roskilde,Low,Minimal,22,0,2025-08-05T06:08:18.570328,1.2,True,General,495.8588526463225,0.38600415276038524
F000023,2025-08-25T17:57:04.077557,200.2,Routine maintenance alert,Minor,COAX,Casa C100G,Roskilde,Low,Minimal,21,2,2025-08-25T18:39:39.092426,0.71,False,General,1827.3794296982728,0.6345218688374669
F000024,2025-07-17T13:20:19.705332,400.1,Signal level deviation,Minor,FIBER,Huawei MA5800,Odense West,Low,Minimal,49,2,2025-07-17T15:39:46.386183,2.32,False,General,669.7960738514174,0.7783931456642573
F000025,2025-08-27T17:19:36.985217,500.3,Minor packet loss detected,Minor,COAX,Cisco cBR-8,Aalborg East,Low,Minimal,2,5,2025-08-27T19:00:35.045741,1.68,False,General,117.65199421231492,0.8932051970345769
F000026,2025-08-09T19:01:10.867792,300.5,Minor packet loss detected,Minor,COAX,Arris E6000,Kolding,Low,Minimal,50,0,2025-08-09T22:41:56.225000,3.68,False,General,1305.4925704287164,0.5883281209254251
F000027,2025-08-12T07:46:35.946360,900.1,Power supply fluctuation,Major,COAX,Harmonic CableOS,Vejle,Medium,Moderate,348,20,2025-08-12T18:45:39.471024,10.98,False,General,19654.64720324769,0.7420419397328887
F000028,2025-09-26T08:28:01.741340,300.5,Minor packet loss detected,Minor,COAX,Harmonic CableOS,Kolding,Low,Minimal,35,4,2025-09-26T10:30:05.632678,2.03,False,General,3362.3972287695883,0.6871021557345103
F000029,2025-08-22T17:41:51.387537,815.5,Coax cable degradation,Cable Fault,FIBER,Huawei MA5800,Aarhus North,High,Severe,1641,290,2025-08-23T23:55:39.286919,30.23,True,Specialist,153906.21753952632,0.7781407444323613
F000030,2025-07-28T16:17:24.475301,500.3,Signal level deviation,Minor,FIBER,Huawei MA5800,Odense West,Low,Minimal,12,3,2025-07-28T18:00:23.369902,1.72,False,General,729.5542197268041,0.17674689331012494
F000031,2025-09-26T08:00:15.825096,500.3,Configuration drift,Minor,COAX,Casa C100G,Odense West,Low,Minimal,4,5,2025-09-26T11:07:43.000381,3.12,True,General,74.12041390578327,0.772072212217707
F000032,2025-09-08T05:49:53.539428,500.3,Signal level deviation,Minor,FIBER,Huawei MA5800,Kolding,Low,Minimal,23,0,2025-09-08T06:31:44.274362,0.7,False,General,648.9053284271621,0.6281709901188323
F000033,2025-08-31T07:09:14.436991,500.3,Signal level deviation,Minor,COAX,Casa C100G,Aalborg East,Low,Minimal,4,3,2025-08-31T09:51:52.994448,2.71,False,General,108.0657691986936,0.9008110301299554
F000034,2025-07-10T21:43:28.596293,100.1,Configuration drift,Minor,FIBER,Cisco ASR9000,Aarhus North,Low,Minimal,46,3,2025-07-10T23:32:54.978182,1.82,True,General,3578.156008511065,0.5538576088958683
F000035,2025-09-03T08:53:54.218397,816.1,Fiber break in main trunk,Cable Fault,FIBER,Cisco ASR9000,Aalborg East,High,Severe,1196,260,2025-09-04T13:02:25.479936,28.14,True,Specialist,97042.23891720029,0.9481178822577804
F000036,2025-08-18T03:11:38.024154,300.5,Routine maintenance alert,Minor,COAX,Harmonic CableOS,Silkeborg,Low,Minimal,42,0,2025-08-18T04:52:46.254255,1.69,False,General,3812.809220491616,0.85962272968221
F000037,2025-09-18T15:36:54.691745,400.1,Low bandwidth utilization,Minor,FIBER,Juniper MX960,Silkeborg,Low,Minimal,6,5,2025-09-18T16:23:46.957315,0.78,True,General,454.84552929817477,0.225293191163633
F000038,2025-08-17T13:10:00.595109,150.4,Multiple customer complaints,Major,FIBER,Juniper MX960,Copenhagen Central,Medium,Moderate,237,41,2025-08-18T00:34:46.760896,11.41,False,General,7080.25808644119,0.7026796771743609
F000039,2025-09-13T12:50:28.405863,816.1,Cable cut detected,Cable Fault,FIBER,Cisco ASR9000,Aalborg East,High,Severe,1140,70,2025-09-14T02:12:34.916650,13.37,False,Specialist,78842.55650636357,0.9049001765120543
F000040,2025-08-02T21:41:01.192332,200.2,Configuration drift,Minor,FIBER,Cisco ASR9000,Roskilde,Low,Minimal,27,3,2025-08-02T23:12:29.613450,1.52,False,General,562.5132235319488,0.8611621134981016
F000041,2025-08-13T16:26:02.959440,700.2,Service degradation detected,Major,FIBER,Juniper MX960,Kolding,Medium,Moderate,74,16,2025-08-13T20:59:23.774403,4.56,False,General,4341.81858316813,0.6612078805160109
F000042,2025-07-06T07:57:44.270179,400.1,Low bandwidth utilization,Minor,COAX,Casa C100G,Silkeborg,Low,Minimal,30,0,2025-07-06T09:37:15.573421,1.66,True,General,1836.5497384679695,0.4098587486491425
F000043,2025-08-30T14:25:41.660118,150.4,Temperature threshold exceeded,Major,FIBER,Juniper MX960,Silkeborg,Medium,Moderate,182,11,2025-08-30T21:55:01.426776,7.49,True,General,6668.966545161617,0.7868244186375134
F000044,2025-08-10T21:57:14.341228,400.1,Minor packet loss detected,Minor,FIBER,Huawei MA5800,Aarhus North,Low,Minimal,9,3,2025-08-11T00:12:19.436583,2.25,True,General,603.5626168240603,0.10965611263703191
F000045,2025-09-16T10:05:37.075451,816.1,Cable cut detected,Cable Fault,COAX,Casa C100G,Kolding,High,Severe,3183,73,2025-09-17T05:34:10.719284,19.48,False,Specialist,111446.49588363757,0.7273437722601057
F000046,2025-07-05T22:51:24.190130,100.1,Configuration drift,Minor,COAX,Casa C100G,Vejle,Low,Minimal,39,5,2025-07-06T02:32:26.235596,3.68,False,General,3261.441205773476,0.9654135549227988
F000047,2025-09-27T06:06:08.404617,813.1,Cable cut detected,Cable Fault,FIBER,Nokia 7750,Silkeborg,High,Severe,1331,87,2025-09-29T02:47:14.890447,44.69,False,Specialist,14044.634804509093,0.8176649820250884
F000048,2025-08-06T05:54:10.501675,800.3,Service degradation detected,Major,COAX,Casa C100G,Odense West,Medium,Moderate,264,42,2025-08-06T08:49:00.553784,2.91,False,General,19723.404626983724,0.4979918705431874
F000049,2025-08-15T01:57:50.675812,150.4,Service degradation detected,Major,FIBER,Cisco ASR9000,Aalborg East,Medium,Moderate,330,22,2025-08-15T04:23:01.445895,2.42,False,General,14428.980504765808,0.6192739879199499
F000050,2025-09-23T17:20:59.168771,700.2,High error rate on interface,Major,COAX,Harmonic CableOS,Silkeborg,Medium,Moderate,230,49,2025-09-24T02:20:07.796820,8.99,False,General,9404.65952730053,0.4470429966047088
F000051,2025-09-13T02:50:05.728996,500.3,Signal level deviation,Minor,COAX,Casa C100G,Aalborg East,Low,Minimal,29,0,2025-09-13T06:49:01.417875,3.98,False,General,2478.163613682876,0.4399270335136716
F000052,2025-07-22T08:53:50.068386,813.1,Fiber break in main trunk,Cable Fault,FIBER,Cisco ASR9000,Esbjerg South,High,Severe,2392,302,2025-07-24T04:29:34.755743,43.6,False,Specialist,176035.20362780217,0.8842639660055439
F000053,2025-09-11T12:39:18.470530,400.1,Routine maintenance alert,Minor,FIBER,Juniper MX960,Odense West,Low,Minimal,19,2,2025-09-11T14:26:36.722117,1.79,False,General,1240.2403803659297,0.30967681690943627
F000054,2025-08-11T03:09:07.024601,700.2,Multiple customer complaints,Major,FIBER,Huawei MA5800,Aarhus North,Medium,Moderate,383,35,2025-08-11T15:08:18.411764,11.99,False,General,35179.989500227915,0.6923619074844702
F000055,2025-09-27T06:02:53.514449,300.5,Configuration drift,Minor,FIBER,Nokia 7750,Aarhus North,Low,Minimal,49,3,2025-09-27T09:41:35.988402,3.65,True,General,1374.6396446853523,0.989722285107771
F000056,2025-07-11T02:09:07.137901,400.1,Low bandwidth utilization,Minor,FIBER,Juniper MX960,Odense West,Low,Minimal,11,0,2025-07-11T04:07:39.342587,1.98,False,General,816.2093788971748,0.2776983781738397
F000057,2025-09-19T01:19:41.480058,700.2,Service degradation detected,Major,FIBER,Cisco ASR9000,Kolding,Medium,Moderate,218,41,2025-09-19T03:50:28.717133,2.51,True,General,6848.466972553328,0.7869051170010517
F000058,2025-07-18T21:31:51.722217,400.1,Routine maintenance alert,Minor,COAX,Harmonic CableOS,Kolding,Low,Minimal,10,3,2025-07-18T22:51:16.687936,1.32,False,General,144.0165899840427,0.7734098082634787
F000059,2025-08-01T13:52:31.994395,200.2,Routine maintenance alert,Minor,FIBER,Cisco ASR9000,Vejle,Low,Minimal,5,3,2025-08-01T14:49:23.672159,0.95,False,General,139.61249661118686,0.18216849798931262
F000060,2025-07-25T00:19:59.789804,400.1,Minor packet loss detected,Minor,COAX,Cisco cBR-8,Roskilde,Low,Minimal,9,4,2025-07-25T02:40:51.866372,2.35,True,General,549.0555756886995,0.502589392971617
F000061,2025-07-02T00:53:22.930691,400.1,Routine maintenance alert,Minor,COAX,Arris E6000,Silkeborg,Low,Minimal,38,2,2025-07-02T04:35:20.839667,3.7,True,General,3541.456055659184,0.4826496154557717
F000062,2025-07-13T07:22:50.483530,815.5,Underground cable damage,Cable Fault,FIBER,Juniper MX960,Horsens,High,Severe,2579,239,2025-07-15T07:08:34.278800,47.76,False,Specialist,28816.973543005628,0.8155877181213026
F000063,2025-09-03T14:21:27.662249,500.3,Signal level deviation,Minor,COAX,Harmonic CableOS,Esbjerg South,Low,Minimal,24,0,2025-09-03T18:05:25.361759,3.73,True,General,1719.5137937627333,0.11996003730826076
F000064,2025-07-17T22:44:24.134612,200.2,Routine maintenance alert,Minor,COAX,Harmonic CableOS,Roskilde,Low,Minimal,41,5,2025-07-17T23:22:11.361592,0.63,True,General,1761.3778500679118,0.7472610301020358
F000065,2025-09-14T10:33:30.158062,900.1,Service degradation detected,Major,FIBER,Cisco ASR9000,Roskilde,Medium,Moderate,148,28,2025-09-14T18:21:24.501735,7.8,True,General,6822.707801671555,0.5848094519265984
F000066,2025-08-06T04:35:03.519758,500.3,Minor packet loss detected,Minor,FIBER,Juniper MX960,Horsens,Low,Minimal,21,2,2025-08-06T07:20:42.333608,2.76,True,General,2020.438027991329,0.6539323653413369
F000067,2025-08-03T01:22:10.442973,100.1,Configuration drift,Minor,COAX,Casa C100G,Vejle,Low,Minimal,16,4,2025-08-03T04:14:03.258988,2.86,False,General,1035.2611404370214,0.6391675203510505
F000068,2025-08-08T18:51:10.461998,100.1,Configuration drift,Minor,FIBER,Cisco ASR9000,Copenhagen Central,Low,Minimal,8,4,2025-08-08T22:49:52.663057,3.98,False,General,403.349603627085,0.6480969199938225
F000069,2025-07-21T21:42:19.702262,700.2,Multiple customer complaints,Major,COAX,Cisco cBR-8,Silkeborg,Medium,Moderate,307,40,2025-07-22T00:39:48.002364,2.96,False,General,25962.84733697977,0.43180146837053573
F000070,2025-07-09T12:31:02.485372,814.2,Fiber break in main trunk,Cable Fault,FIBER,Cisco ASR9000,Copenhagen Central,High,Severe,3396,203,2025-07-10T08:35:17.919969,20.07,False,Specialist,134448.8662682065,0.9074416759339528
F000071,2025-09-16T16:07:56.243783,400.1,Signal level deviation,Minor,FIBER,Juniper MX960,Kolding,Low,Minimal,5,3,2025-09-16T17:37:36.085401,1.49,False,General,314.5928436067241,0.9666368683177753
F000072,2025-07-19T08:26:00.777935,900.1,Service degradation detected,Major,COAX,Harmonic CableOS,Kolding,Medium,Moderate,65,9,2025-07-19T17:18:30.439767,8.87,False,General,876.0630987941533,0.7817750846935846
F000073,2025-08-28T02:00:35.785211,800.3,Service degradation detected,Major,COAX,Harmonic CableOS,Vejle,Medium,Moderate,161,17,2025-08-28T04:05:22.938699,2.08,True,General,3581.0090960355724,0.7932239564776936
F000074,2025-07-18T22:42:56.139599,900.1,Service degradation detected,Major,FIBER,Cisco ASR9000,Esbjerg South,Medium,Moderate,209,14,2025-07-19T02:56:28.448892,4.23,True,General,10469.209199761046,0.5982880354296142
F000075,2025-08-19T06:08:07.216522,150.4,High error rate on interface,Major,COAX,Casa C100G,Horsens,Medium,Moderate,209,22,2025-08-19T17:50:20.473385,11.7,False,General,13023.884060806846,0.5132298902680132
F000076,2025-07-25T09:22:30.309862,400.1,Signal level deviation,Minor,FIBER,Cisco ASR9000,Odense West,Low,Minimal,15,0,2025-07-25T12:28:26.032724,3.1,True,General,1323.5430151396897,0.36396372613576367
F000077,2025-07-21T09:24:01.566570,200.2,Routine maintenance alert,Minor,FIBER,Cisco ASR9000,Aarhus North,Low,Minimal,31,5,2025-07-21T11:49:43.463245,2.43,True,General,2041.8368089351402,0.6556776029245474
F000078,2025-08-01T10:58:14.071855,100.1,Signal level deviation,Minor,COAX,Harmonic CableOS,Copenhagen Central,Low,Minimal,44,4,2025-08-01T11:50:38.998710,0.87,False,General,578.8630461188511,0.3422643302057721
F000079,2025-09-22T15:21:46.700415,200.2,Configuration drift,Minor,COAX,Harmonic CableOS,Odense West,Low,Minimal,29,2,2025-09-22T16:16:19.135675,0.91,True,General,1108.3876891810862,0.6148543481374592
F000080,2025-08-16T03:53:15.671924,813.1,Cable cut detected,Cable Fault,COAX,Arris E6000,Aarhus North,High,Severe,1348,424,2025-08-16T16:34:10.825583,12.68,False,Specialist,125685.21817295502,0.9848686494512635
F000081,2025-07-28T17:13:40.925467,500.3,Low bandwidth utilization,Minor,COAX,Cisco cBR-8,Silkeborg,Low,Minimal,31,5,2025-07-28T19:05:30.703223,1.86,True,General,1438.2831305234872,0.14696395582813487
F000082,2025-08-11T22:07:56.834139,500.3,Signal level deviation,Minor,FIBER,Juniper MX960,Silkeborg,Low,Minimal,16,0,2025-08-12T01:03:59.246778,2.93,True,General,1128.3798900001989,0.827848978936099
F000083,2025-09-22T00:44:20.254660,814.2,Aerial cable fault,Cable Fault,COAX,Cisco cBR-8,Silkeborg,High,Severe,875,192,2025-09-23T11:28:41.249820,34.74,False,Specialist,32632.121733668788,0.7991198305945756
F000084,2025-09-08T10:07:52.344635,600.1,High error rate on interface,Major,COAX,Harmonic CableOS,Aarhus North,Medium,Moderate,191,22,2025-09-08T22:04:15.421349,11.94,False,General,13110.382878064982,0.6464098308540487
F000085,2025-09-25T00:34:09.803387,100.1,Configuration drift,Minor,FIBER,Nokia 7750,Copenhagen Central,Low,Minimal,1,2,2025-09-25T04:34:01.023221,4.0,True,General,78.71907256191517,0.32416753495249956
F000086,2025-09-27T09:37:10.383094,150.4,Service degradation detected,Major,FIBER,Huawei MA5800,Odense West,Medium,Moderate,380,39,2025-09-27T18:21:51.980328,8.74,False,General,10101.191240591555,0.6502702193584952
F000087,2025-07-22T14:24:31.651510,500.3,Configuration drift,Minor,COAX,Harmonic CableOS,Aarhus North,Low,Minimal,36,2,2025-07-22T17:38:19.722512,3.23,False,General,2404.716249401171,0.833695610208999
F000088,2025-08-02T01:56:24.133505,300.5,Routine maintenance alert,Minor,COAX,Cisco cBR-8,Kolding,Low,Minimal,24,5,2025-08-02T05:51:38.913567,3.92,True,General,1675.4330741467297,0.49643396580491683
F000089,2025-08-14T15:46:11.618339,200.2,Routine maintenance alert,Minor,COAX,Arris E6000,Roskilde,Low,Minimal,35,3,2025-08-14T19:21:21.793281,3.59,False,General,1785.4093546183506,0.6595103912769446
F000090,2025-08-03T06:15:40.617520,814.2,Aerial cable fault,Cable Fault,FIBER,Cisco ASR9000,Aarhus North,High,Severe,2791,301,2025-08-04T15:11:15.448838,32.93,False,Specialist,217687.30711153647,0.9278932083945935
F000091,2025-09-03T00:26:27.182185,150.4,Temperature threshold exceeded,Major,COAX,Arris E6000,Copenhagen Central,Medium,Moderate,310,22,2025-09-03T10:22:48.674867,9.94,False,General,7492.899693147795,0.5868914566016855
F000092,2025-07-30T04:06:02.231643,100.1,Low bandwidth utilization,Minor,COAX,Casa C100G,Aarhus North,Low,Minimal,42,0,2025-07-30T06:46:37.503306,2.68,True,General,3337.4473392053555,0.6963446663258395
F000093,2025-07-08T16:34:31.278420,500.3,Configuration drift,Minor,COAX,Casa C100G,Kolding,Low,Minimal,42,0,2025-07-08T18:05:36.635901,1.52,True,General,3182.959055003439,0.34115054289979174
F000094,2025-08-13T10:12:55.825872,400.1,Routine maintenance alert,Minor,COAX,Casa C100G,Odense West,Low,Minimal,32,2,2025-08-13T11:57:49.523337,1.75,False,General,1634.5443872638618,0.33984284537781495
F000095,2025-08-15T04:17:54.455749,700.2,Multiple customer complaints,Major,FIBER,Juniper MX960,Vejle,Medium,Moderate,289,26,2025-08-15T13:45:59.902467,9.47,True,General,3018.1906715735413,0.6635611182560202
F000096,2025-09-23T18:01:18.354684,100.1,Routine maintenance alert,Minor,COAX,Casa C100G,Aarhus North,Low,Minimal,13,3,2025-09-23T18:52:02.921342,0.85,False,General,482.82845981141304,0.6928969327690327
F000097,2025-08-17T04:45:58.133114,600.1,Service degradation detected,Major,COAX,Harmonic CableOS,Kolding,Medium,Moderate,245,25,2025-08-17T16:40:37.295245,11.91,False,General,12162.146233205565,0.6914947402362532
F000098,2025-08-06T00:57:00.972055,813.1,Underground cable damage,Cable Fault,COAX,Harmonic CableOS,Esbjerg South,High,Severe,1002,403,2025-08-07T05:44:07.991426,28.79,True,Specialist,73919.02745818679,0.8029896000888931
F000099,2025-08-05T19:47:45.277591,400.1,Configuration drift,Minor,COAX,Arris E6000,Aalborg East,Low,Minimal,43,4,2025-08-05T20:47:48.475930,1.0,True,General,1470.721515152291,0.5453716364801636
F000100,2025-08-12T12:48:27.635731,400.1,Configuration drift,Minor,COAX,Arris E6000,Odense West,Low,Minimal,26,2,2025-08-12T14:41:16.023123,1.88,False,General,442.8323879426667,0.4516387800864585
F000101,2025-07-14T01:07:57.674149,812.3,Cable cut detected,Cable Fault,COAX,Cisco cBR-8,Esbjerg South,High,Severe,854,99,2025-07-15T00:57:21.393400,23.82,True,Specialist,78899.70638336944,0.8150464963822301
F000102,2025-08-25T14:05:03.708505,500.3,Signal level deviation,Minor,FIBER,Nokia 7750,Aalborg East,Low,Minimal,30,2,2025-08-25T16:47:03.192616,2.7,False,General,2114.6370094371327,0.4184517478046029
F000103,2025-09-26T07:13:55.420244,200.2,Configuration drift,Minor,FIBER,Juniper MX960,Odense West,Low,Minimal,4,3,2025-09-26T10:17:42.460616,3.06,True,General,175.80178116149415,0.633745796353726
F000104,2025-07-30T15:47:48.106950,100.1,Signal level deviation,Minor,FIBER,Huawei MA5800,Horsens,Low,Minimal,50,2,2025-07-30T18:12:19.384795,2.41,False,General,1546.9589403027344,0.15871914556037556
F000105,2025-08-02T04:02:45.351329,500.3,Routine maintenance alert,Minor,FIBER,Nokia 7750,Aalborg East,Low,Minimal,40,2,2025-08-02T06:03:18.147920,2.01,False,General,2508.3927639461026,0.9968625073036693
F000106,2025-09-06T04:11:30.158279,150.4,Multiple customer complaints,Major,FIBER,Nokia 7750,Copenhagen Central,Medium,Moderate,468,49,2025-09-06T07:21:56.755321,3.17,False,General,9376.268368954909,0.761249110289049
F000107,2025-07-09T20:45:02.697021,200.2,Minor packet loss detected,Minor,FIBER,Nokia 7750,Horsens,Low,Minimal,32,0,2025-07-09T22:32:25.889634,1.79,True,General,589.2316735426011,0.15509588202625368
F000108,2025-09-06T06:09:09.747003,100.1,Routine maintenance alert,Minor,COAX,Cisco cBR-8,Copenhagen Central,Low,Minimal,42,5,2025-09-06T09:26:17.387453,3.29,False,General,2703.1000844089,0.8167397875897069
F000109,2025-09-28T23:43:15.152831,400.1,Low bandwidth utilization,Minor,FIBER,Nokia 7750,Copenhagen Central,Low,Minimal,21,5,2025-09-29T03:13:48.317064,3.51,False,General,1538.2197772284367,0.5871872036322328
F000110,2025-07-22T02:17:00.150781,300.5,Configuration drift,Minor,COAX,Cisco cBR-8,Vejle,Low,Minimal,47,3,2025-07-22T04:00:24.821761,1.72,True,General,985.6420043365006,0.36323481472868147
F000111,2025-09-08T14:18:27.063788,700.2,Service degradation detected,Major,COAX,Arris E6000,Roskilde,Medium,Moderate,364,30,2025-09-08T16:23:22.933176,2.08,True,General,34822.57433129713,0.4333658581837258
F000112,2025-09-03T10:29:52.450319,816.1,Aerial cable fault,Cable Fault,COAX,Arris E6000,Aalborg East,High,Severe,2716,247,2025-09-03T18:48:06.613697,8.3,False,Specialist,217521.31306310577,0.9466578179555888
F000113,2025-09-15T01:10:49.870757,500.3,Configuration drift,Minor,COAX,Casa C100G,Silkeborg,Low,Minimal,4,4,2025-09-15T02:31:26.924633,1.34,True,General,129.4196557341459,0.5981531268051862
F000114,2025-09-20T04:33:47.914397,200.2,Low bandwidth utilization,Minor,FIBER,Juniper MX960,Kolding,Low,Minimal,30,5,2025-09-20T07:20:12.859213,2.77,False,General,714.1772114425111,0.854568159493934
F000115,2025-08-25T07:13:35.074648,400.1,Minor packet loss detected,Minor,FIBER,Nokia 7750,Esbjerg South,Low,Minimal,10,4,2025-08-25T09:06:51.127268,1.89,False,General,924.7323179783551,0.4170553897910543
F000116,2025-09-19T11:25:57.556617,200.2,Low bandwidth utilization,Minor,COAX,Harmonic CableOS,Odense West,Low,Minimal,19,3,2025-09-19T13:28:58.302904,2.05,True,General,1698.1769500428834,0.28493100783247216
F000117,2025-09-26T10:24:37.406363,400.1,Minor packet loss detected,Minor,FIBER,Huawei MA5800,Esbjerg South,Low,Minimal,48,4,2025-09-26T12:48:34.671466,2.4,False,General,4380.198117530254,0.4362710605045753
F000118,2025-08-13T02:25:12.480160,100.1,Minor packet loss detected,Minor,FIBER,Juniper MX960,Vejle,Low,Minimal,46,5,2025-08-13T05:03:20.706834,2.64,False,General,3759.4973852424837,0.4348264286299265
F000119,2025-08-28T16:39:23.187323,814.2,Fiber break in main trunk,Cable Fault,COAX,Harmonic CableOS,Kolding,High,Severe,2548,358,2025-08-30T00:39:55.116725,32.01,False,Specialist,146101.19918920688,0.8360580000926969
F000120,2025-07-02T14:33:09.266715,700.2,Multiple customer complaints,Major,COAX,Arris E6000,Kolding,Medium,Moderate,411,19,2025-07-02T18:16:47.119041,3.73,False,General,38675.06876787047,0.7221764730483751
F000121,2025-08-11T05:54:50.372794,813.1,Cable cut detected,Cable Fault,FIBER,Nokia 7750,Odense West,High,Severe,4434,267,2025-08-12T04:14:16.445377,22.32,False,Specialist,117746.64919201295,0.7428619462256751
F000122,2025-08-28T01:04:04.644408,200.2,Routine maintenance alert,Minor,COAX,Harmonic CableOS,Roskilde,Low,Minimal,36,0,2025-08-28T01:49:35.111872,0.76,True,General,2584.412326761466,0.7271110271314792
F000123,2025-08-05T16:15:39.344967,400.1,Low bandwidth utilization,Minor,COAX,Cisco cBR-8,Silkeborg,Low,Minimal,9,2,2025-08-05T18:10:55.673438,1.92,True,General,726.6117574395294,0.11832715776370206
F000124,2025-07-03T06:34:45.548048,400.1,Configuration drift,Minor,COAX,Arris E6000,Odense West,Low,Minimal,2,2,2025-07-03T09:19:46.796646,2.75,True,General,195.65320923985277,0.13767855252033792
